CustomerID,TotalAmount_Sum,TotalAmount_Mean,TransactionCount,Quantity_Sum,Quantity_Mean,Price_Mean,UniqueProducts,CustomerTenureDays,AvgDaysBetweenPurchases,CustomerSegment_Encoded,Country_Encoded,FirstPurchase_Year,FirstPurchase_Month,LastPurchase_Year,LastPurchase_Month
12346,372.86,11.298787878787879,33,70,2.121212121212121,6.253333333333334,26,196,6.125,0,699726,2009,12,2010,6
12350,334.4,19.670588235294115,17,197,11.588235294117647,3.841176470588235,17,0,0.0,0,1287,2011,2,2011,2
12351,300.93,14.33,21,261,12.428571428571429,2.355238095238095,21,0,0.0,0,518,2010,11,2010,11
12352,2849.84,27.668349514563108,103,724,7.029126213592233,13.676796116504855,70,356,3.4901960784313726,1,1287,2010,11,2011,11
12353,406.76,16.948333333333334,24,212,8.833333333333334,2.6283333333333334,23,204,8.869565217391305,0,59,2010,10,2011,5
12354,1079.4,18.610344827586207,58,530,9.137931034482758,4.5037931034482765,58,0,0.0,0,3653,2011,4,2011,4
12355,947.61,27.074571428571428,35,543,15.514285714285714,3.069428571428572,35,353,10.382352941176471,1,59,2010,5,2011,5
12361,511.25,17.629310344827587,29,235,8.10344827586207,3.8706896551724137,18,394,14.071428571428571,1,3054,2010,1,2011,2
12363,552.0,24.0,23,408,17.73913043478261,2.3117391304347827,23,132,6.0,0,518,2011,4,2011,8
12364,1313.1,15.448235294117646,85,1506,17.71764705882353,1.910235294117647,70,104,1.2380952380952381,0,3054,2011,8,2011,12
12365,641.38,29.153636363636362,22,174,7.909090909090909,17.150454545454547,22,0,0.0,0,1136,2011,2,2011,2
12366,500.24,166.74666666666667,3,296,98.66666666666667,1.6900000000000002,3,0,0.0,0,1136,2010,3,2010,3
12367,168.9,15.354545454545455,11,173,15.727272727272727,3.2,11,0,0.0,0,767,2011,12,2011,12
12368,917.6999999999999,50.98333333333333,18,330,18.333333333333332,4.391666666666667,18,0,0.0,0,1136,2010,3,2010,3
12369,1791.15,19.25967741935484,93,1241,13.344086021505376,3.148924731182796,90,228,2.4782608695652173,0,922,2010,3,2010,10
12372,1298.04,24.962307692307693,52,794,15.26923076923077,3.001346153846154,34,224,4.392156862745098,0,767,2011,2,2011,9
12373,1127.65,22.110784313725492,51,516,10.117647058823529,4.627450980392157,36,362,7.24,1,922,2010,2,2011,2
12374,2989.2200000000003,36.01469879518073,83,1362,16.40963855421687,3.47855421686747,79,563,6.865853658536586,1,922,2010,4,2011,11
12375,457.5,26.91176470588235,17,178,10.470588235294118,6.912941176470589,14,87,5.4375,0,1032,2011,9,2011,11
12376,503.15,38.70384615384615,13,240,18.46153846153846,8.03076923076923,11,28,2.3333333333333335,0,3005,2010,10,2010,11
12379,1620.22,20.002716049382716,81,815,10.061728395061728,2.9080246913580248,58,452,5.65,1,3054,2010,6,2011,9
12381,1845.31,21.21045977011494,87,808,9.28735632183908,4.683218390804598,70,115,1.3372093023255813,0,1287,2011,8,2011,12
12383,1850.56,18.69252525252525,99,1532,15.474747474747474,3.086969696969697,84,167,1.7040816326530612,0,3054,2010,12,2011,6
12384,585.27,21.676666666666666,27,126,4.666666666666667,7.87925925925926,26,92,3.5384615384615383,0,3005,2011,8,2011,11
12385,1938.4,29.821538461538463,65,612,9.415384615384616,3.6807692307692306,65,0,0.0,0,3054,2010,11,2010,11
12386,401.9,40.19,10,354,35.4,2.391,10,29,3.2222222222222223,0,1777,2010,12,2011,1
12387,143.94,15.993333333333332,9,134,14.88888888888889,2.7622222222222224,9,0,0.0,0,1777,2010,10,2010,10
12389,1433.33,29.251632653061222,49,614,12.53061224489796,2.6542857142857144,41,253,5.270833333333333,0,1777,2010,2,2010,11
12390,549.84,17.1825,32,353,11.03125,3.996875,32,0,0.0,0,3054,2011,9,2011,9
12392,234.75000000000003,33.53571428571429,7,73,10.428571428571429,5.035714285714286,7,0,0.0,0,1777,2010,4,2010,4
12393,2399.4500000000003,22.42476635514019,107,1311,12.25233644859813,2.479906542056075,63,356,3.358490566037736,1,1777,2010,10,2011,9
12394,1272.48,47.12888888888889,27,819,30.333333333333332,3.3707407407407404,26,153,5.884615384615385,0,3054,2011,5,2011,10
12396,931.43,14.329692307692307,65,591,9.092307692307692,2.2993846153846156,65,0,0.0,0,122,2010,2,2010,2
12397,2409.9,19.126190476190477,126,1263,10.023809523809524,3.4682539682539684,110,99,0.792,0,3054,2011,7,2011,11
12398,1635.6599999999999,19.24305882352941,85,1394,16.4,1.992705882352941,85,0,0.0,0,3005,2011,10,2011,10
12400,205.25,18.65909090909091,11,91,8.272727272727273,2.9136363636363636,11,0,0.0,0,1777,2010,10,2010,10
12401,84.3,16.86,5,11,2.2,9.68,5,0,0.0,0,3054,2011,2,2011,2
12402,1256.9,17.955714285714286,70,584,8.342857142857143,3.3049999999999997,43,347,5.028985507246377,1,3054,2010,2,2011,1
12403,1019.36,113.26222222222222,9,260,28.88888888888889,7.103333333333334,5,471,58.875,1,767,2010,7,2011,10
12404,63.24,63.24,1,1,1.0,63.24,1,0,0.0,0,1032,2010,1,2010,1
12405,1710.39,31.67388888888889,54,857,15.87037037037037,3.5442592592592597,54,0,0.0,0,1032,2011,7,2011,7
12407,1708.1200000000001,22.183376623376624,77,1416,18.38961038961039,3.2674025974025973,57,214,2.8157894736842106,0,3054,2011,3,2011,10
12410,1013.71,25.342750000000002,40,341,8.525,6.01475,36,193,4.948717948717949,0,3005,2010,7,2011,2
12411,346.9,15.768181818181818,22,138,6.2727272727272725,3.3954545454545455,22,0,0.0,0,1777,2010,10,2010,10
12413,999.45,19.597058823529412,51,319,6.254901960784314,5.902745098039216,41,335,6.7,1,3653,2010,11,2011,10
12414,952.41,34.01464285714285,28,495,17.678571428571427,16.35,21,246,9.11111111111111,0,922,2010,9,2011,5
12416,202.56,18.414545454545454,11,132,12.0,1.5345454545454544,11,0,0.0,0,1777,2010,2,2010,2
12418,2021.2,19.815686274509805,102,1088,10.666666666666666,3.3453921568627454,90,517,5.118811881188119,1,3005,2010,3,2011,8
12419,503.01,20.1204,25,231,9.24,5.0436000000000005,23,27,1.125,0,3653,2010,10,2010,11
12420,600.39,20.70310344827586,29,345,11.89655172413793,4.707241379310345,29,0,0.0,0,1136,2011,10,2011,10
12421,1098.6,16.90153846153846,65,652,10.03076923076923,4.771076923076923,44,489,7.640625,1,3653,2010,7,2011,11
12425,1741.41,19.136373626373626,91,1147,12.604395604395604,2.4042857142857144,87,370,4.111111111111111,1,2354,2010,9,2011,9
12426,1345.21,17.470259740259742,77,584,7.584415584415584,3.5572727272727276,73,468,6.157894736842105,1,16431,2010,2,2011,5
12427,825.8,26.638709677419353,31,533,17.193548387096776,4.589032258064516,26,349,11.633333333333333,1,16431,2010,12,2011,11
12430,256.4,23.30909090909091,11,117,10.636363636363637,6.225454545454546,11,0,0.0,0,1287,2011,10,2011,10
12434,1103.43,15.763285714285715,70,532,7.6,3.5964285714285715,62,296,4.2898550724637685,1,1777,2010,11,2011,9
12436,509.01,31.813125,16,211,13.1875,5.2675,16,0,0.0,0,1287,2011,9,2011,9
12438,2906.85,29.66173469387755,98,1180,12.040816326530612,3.894897959183673,84,125,1.288659793814433,0,1287,2011,7,2011,11
